task,aoa_months,source,confidence,notes
blimp_existential_there_quantifiers_2,48,estimacion experto,baja,there-existencial con cuantificadores; rango 42-54
blimp_expletive_it_object_raising,54,estimacion experto,baja,it-expletivo raising; rango 48-60
blimp_tough_vs_raising_1,60,estimacion experto,baja,tough-movement vs raising; rango 54-66
blimp_tough_vs_raising_2,60,estimacion experto,baja,tough-movement vs raising; rango 54-66
blimp_ellipsis_n_bar_1,42,Crain et al. 2002; estimacion experto,baja,elipsis NP-bar; rango 36-48
blimp_ellipsis_n_bar_2,42,Crain et al. 2002; estimacion experto,baja,elipsis NP-bar; rango 36-48
blimp_distractor_agreement_relational_noun,54,estimacion experto; Lambrecht 1994,baja,concordancia con distractor nominal relacional; rango 48-60
blimp_distractor_agreement_relative_clause,54,estimacion experto,baja,concordancia con distractor clausula relativa; rango 48-60
blimp_superlative_quantifiers_1,48,Musolino & Lidz 2006; estimacion experto,baja,cuantificadores superlativos; rango 42-54
blimp_superlative_quantifiers_2,48,Musolino & Lidz 2006; estimacion experto,baja,cuantificadores superlativos; rango 42-54
blimp_npi_present_1,66,Musolino & Lidz 2006; Lidz & Musolino 2002,baja,items de polaridad negativa; rango 60-72
blimp_npi_present_2,66,Musolino & Lidz 2006,baja,items de polaridad negativa; rango 60-72
blimp_only_npi_licensor_present,66,Musolino & Lidz 2006,baja,NPI con licenciador only; rango 60-72
blimp_only_npi_scope,72,Musolino & Lidz 2006,baja,alcance NPI con only; rango 66-78
blimp_matrix_question_npi_licensor_present,66,Musolino & Lidz 2006; estimacion experto,baja,NPI en pregunta matriz; rango 60-72
blimp_sentential_negation_npi_licensor_present,66,Musolino & Lidz 2006,baja,NPI con negacion oracional; rango 60-72
blimp_sentential_negation_npi_scope,66,Musolino & Lidz 2006,baja,alcance NPI con negacion; rango 60-72
blimp_adjunct_island,72,Goodluck 1991; estimacion experto,baja,isla de adjunto; rango 66-84
blimp_complex_NP_island,72,Goodluck 1991; estimacion experto,baja,isla de SN complejo; rango 66-84
blimp_coordinate_structure_constraint_complex_left_branch,72,estimacion experto,baja,restriccion estructura coordinada (rama izq compleja); rango 66-78
blimp_coordinate_structure_constraint_object_extraction,72,estimacion experto,baja,restriccion estructura coordinada (extraccion objeto); rango 66-78
blimp_left_branch_island_echo_question,72,Goodluck 1991; estimacion experto,baja,isla rama izquierda (eco); rango 66-84
blimp_left_branch_island_simple_question,72,Goodluck 1991; estimacion experto,baja,isla rama izquierda (simple); rango 66-84
blimp_sentential_subject_island,72,Goodluck 1991; estimacion experto,baja,isla de sujeto oracional; rango 66-84
blimp_wh_questions_object_gap,39,Stromswold 1995; Thornton 1990,media,pregunta wh con gap en objeto; rango 36-42
blimp_wh_questions_subject_gap,36,Stromswold 1995; Thornton 1990,media,pregunta wh con gap en sujeto (mas temprana); rango 33-39
blimp_wh_questions_subject_gap_long_distance,48,estimacion experto; Stromswold 1995,baja,pregunta wh sujeto larga distancia; rango 42-54
blimp_wh_island,72,Goodluck 1991; estimacion experto,baja,isla wh; rango 66-84
blimp_wh_vs_that_no_gap,60,estimacion experto,baja,wh vs that sin gap; rango 54-66
blimp_wh_vs_that_no_gap_long_distance,66,estimacion experto,baja,wh vs that sin gap larga distancia; rango 60-72
blimp_wh_vs_that_with_gap,60,estimacion experto,baja,wh vs that con gap; rango 54-66
blimp_wh_vs_that_with_gap_long_distance,66,estimacion experto,baja,wh vs that con gap larga distancia; rango 60-72
